date,Unidades vendidas,unidadesVendidas_diff
2017-02-28,112951.5,-14085.75
2017-03-31,144805.6,31854.100000000006
2017-04-30,119257.5,-25548.100000000006
2017-05-31,158511.82,39254.32000000001
2017-06-30,130230.1,-28281.72
2017-07-31,149060.5,18830.399999999994
2017-08-31,134656.4,-14404.100000000006
2017-09-30,125392.2,-9264.199999999997
2017-10-31,127508.61,2116.4100000000035
2017-11-30,129913.05,2404.4400000000023
2017-12-31,112143.55,-17769.5
2018-01-31,198318.32,86174.77
2018-02-28,128962.95,-69355.37000000001
2018-03-31,193228.65,64265.7
2018-04-30,144842.45,-48386.19999999998
2018-05-31,150885.6,6043.149999999994
2018-06-30,157715.95,6830.350000000006
2018-07-31,146994.35,-10721.600000000006
2018-08-31,156536.55,9542.199999999983
2018-09-30,140931.65,-15604.899999999994
2018-10-31,117268.13,-23663.51999999999
2018-11-30,127367.58,10099.449999999997
2018-12-31,122883.2,-4484.380000000005
2019-01-31,185099.6,62216.40000000001
2019-02-28,127860.34,-57239.26000000001
2019-03-31,150710.9,22850.559999999998
2019-04-30,159091.45,8380.550000000017
2019-05-31,155651.1,-3440.350000000006
2019-06-30,130301.8,-25349.300000000003
2019-07-31,157730.95,27429.15000000001
2019-08-31,132648.0,-25082.95000000001
2019-09-30,176758.0,44110.0
2019-10-31,136797.0,-39961.0
2019-11-30,157798.0,21001.0
2019-12-31,149276.0,-8522.0
2020-01-31,199140.0,49864.0
2020-02-29,148135.0,-51005.0
2020-03-31,103351.0,-44784.0
2020-04-30,50524.0,-52827.0
2020-05-31,155630.0,105106.0
2020-06-30,222686.0,67056.0
2020-07-31,246856.0,24170.0
2020-08-31,215442.0,-31414.0
2020-09-30,253919.0,38477.0
2020-10-31,243549.0,-10370.0
2020-11-30,187382.0,-56167.0
2020-12-31,223601.0,36219.0
2021-01-31,247424.0,23823.0
2021-02-28,210896.0,-36528.0
2021-03-31,258801.0,47905.0
2021-04-30,203698.0,-55103.0
2021-05-31,216671.0,12973.0
2021-06-30,201846.0,-14825.0
2021-07-31,203618.0,1772.0
2021-08-31,211210.0,7592.0
2021-09-30,211482.0,272.0
2021-10-31,205603.0,-5879.0
2021-11-30,185296.0,-20307.0
2021-12-31,175647.0,-9649.0
2022-01-31,214606.0,38959.0
2022-02-28,172014.0,-42592.0
2022-03-31,230548.0,58534.0
2022-04-30,213678.0,-16870.0
2022-05-31,211260.0,-2418.0
2022-06-30,169510.0,-41750.0
2022-07-31,189770.0,20260.0
2022-08-31,182645.0,-7125.0
2022-09-30,179996.0,-2649.0
2022-10-31,205159.0,25163.0
2022-11-30,167330.0,-37829.0
2022-12-31,192564.0,25234.0
