date,org_value,pred_value,diff[org-pred],%error
2022-01-31,175647.0,202221,-26574.0,15.129
2022-02-28,214606.0,186434,28172.0,13.127
2022-03-31,172014.0,213463,-41449.0,24.096
2022-04-30,230548.0,215220,15328.0,6.649
2022-05-31,213678.0,216311,-2633.0,1.232
2022-06-30,211260.0,177405,33855.0,16.025
2022-07-31,169510.0,182888,-13378.0,7.892
2022-08-31,189770.0,182925,6845.0,3.607
2022-09-30,182645.0,189673,-7028.0,3.848
2022-10-31,179996.0,197273,-17277.0,9.599
2022-11-30,205159.0,167691,37468.0,18.263
2022-12-31,167330.0,189064,-21734.0,12.989
