date,Unidades vendidas
2017-01-31,127037.25
2017-02-28,112951.5
2017-03-31,144805.6
2017-04-30,119257.5
2017-05-31,158511.82
2017-06-30,130230.1
2017-07-31,149060.5
2017-08-31,134656.4
2017-09-30,125392.2
2017-10-31,127508.61
2017-11-30,129913.05
2017-12-31,112143.55
2018-01-31,198318.32
2018-02-28,128962.95
2018-03-31,193228.65
2018-04-30,144842.45
2018-05-31,150885.6
2018-06-30,157715.95
2018-07-31,146994.35
2018-08-31,156536.55
2018-09-30,140931.65
2018-10-31,117268.13
2018-11-30,127367.58
2018-12-31,122883.2
2019-01-31,185099.6
2019-02-28,127860.34
2019-03-31,150710.9
2019-04-30,159091.45
2019-05-31,155651.1
2019-06-30,130301.8
2019-07-31,157730.95
2019-08-31,132648.0
2019-09-30,176758.0
2019-10-31,136797.0
2019-11-30,157798.0
2019-12-31,149276.0
2020-01-31,199140.0
2020-02-29,148135.0
2020-03-31,103351.0
2020-04-30,50524.0
2020-05-31,155630.0
2020-06-30,222686.0
2020-07-31,246856.0
2020-08-31,215442.0
2020-09-30,253919.0
2020-10-31,243549.0
2020-11-30,187382.0
2020-12-31,223601.0
2021-01-31,247424.0
2021-02-28,210896.0
2021-03-31,258801.0
2021-04-30,203698.0
2021-05-31,216671.0
2021-06-30,201846.0
2021-07-31,203618.0
2021-08-31,211210.0
2021-09-30,211482.0
2021-10-31,205603.0
2021-11-30,185296.0
2021-12-31,175647.0
2022-01-31,214606.0
2022-02-28,172014.0
2022-03-31,230548.0
2022-04-30,213678.0
2022-05-31,211260.0
2022-06-30,169510.0
2022-07-31,189770.0
2022-08-31,182645.0
2022-09-30,179996.0
2022-10-31,205159.0
2022-11-30,167330.0
2022-12-31,192564.0
